country,reference_date,Rt
Italy,2022-06-13,1.7780231028501798
Italy,2022-06-14,1.818939326332027
Italy,2022-06-15,1.8135866427160139
Italy,2022-06-16,1.7619650520021413
Italy,2022-06-17,1.6640745541904083
Italy,2022-06-18,1.5199151492808156
Italy,2022-06-19,1.3294868372733626
Italy,2022-06-20,1.1057935788371451
Italy,2022-06-21,0.9268591379867352
Italy,2022-06-22,0.8056874753912273
Italy,2022-06-23,0.7422785910506221
Italy,2022-06-24,0.7366324849649193
Italy,2022-06-25,0.7887491571341191
Italy,2022-06-26,0.898628607558221
Italy,2022-06-27,1.0546673440473848
Italy,2022-06-28,1.1872444134625642
Italy,2022-06-29,1.284756323613918
Italy,2022-06-30,1.3472030745014463
Italy,2022-07-01,1.3745846661251493
Italy,2022-07-02,1.3669010984850267
Italy,2022-07-03,1.3241523715810788
Italy,2022-07-04,1.2515832104191096
Italy,2022-07-05,1.180661965033944
Italy,2022-07-06,1.1166333604313856
Italy,2022-07-07,1.0594973966114347
Italy,2022-07-08,1.0092540735740911
Italy,2022-07-09,0.9659033913193551
Italy,2022-07-10,0.9294453498472264
Italy,2022-07-11,0.9006122143928282
Italy,2022-07-12,0.8837975763668989
Italy,2022-07-13,0.8797337010045614
Italy,2022-07-14,0.8884205883058154
Italy,2022-07-15,0.9098582382706613
Italy,2022-07-16,0.944046650899099
Italy,2022-07-17,0.9909858261911284
Italy,2022-07-18,1.046664839348278
Italy,2022-07-19,1.0870181415797195
Italy,2022-07-20,1.1080348080869808
Italy,2022-07-21,1.1097148388700626
Italy,2022-07-22,1.092058233928964
Italy,2022-07-23,1.0550649932636857
Italy,2022-07-24,0.9987351168742273
Italy,2022-07-25,0.9270982123878129
Italy,2022-07-26,0.8643319255677837
Italy,2022-07-27,0.8144658640413631
Italy,2022-07-28,0.7775000278085517
Italy,2022-07-29,0.7534344168693488
Italy,2022-07-30,0.742269031223755
Italy,2022-07-31,0.7440038708717698
Italy,2022-08-01,0.7566003883835908
Italy,2022-08-02,0.7678272991804014
Italy,2022-08-03,0.7756460558323989
Italy,2022-08-04,0.7800566583395832
Italy,2022-08-05,0.7810591067019543
Italy,2022-08-06,0.7786534009195123
Italy,2022-08-07,0.772839540992257
